date,count,total_count,ratio
2023-05-11,1,12106,8.260366760284156e-05
2023-05-12,4,10823,0.00036958329483507344
2023-05-13,2,4624,0.00043252595155709344
2023-05-14,0,4633,0
2023-05-15,1,11025,9.070294784580499e-05
2023-05-16,8,12527,0.000638620579548176
2023-05-17,9,12435,0.0007237635705669482
2023-05-18,9,12288,0.000732421875
2023-05-19,8,10922,0.0007324665812122322
2023-05-20,3,5100,0.000588235294117647
2023-05-21,0,5044,0
2023-05-22,21,10882,0.0019297923175886785
2023-05-23,11,11993,0.0009172017009922455
2023-05-24,3,11924,0.0002515934250251593
2023-05-25,9,11755,0.0007656316461080392
2023-05-26,14,10147,0.0013797181432935843
2023-05-27,0,4805,0
2023-05-28,1,4755,0.0002103049421661409
2023-05-29,4,6038,0.000662471016893011
2023-05-30,6,10811,0.0005549902876699658
2023-05-31,10,11849,0.0008439530762089628
2023-06-01,23,12206,0.0018843191872849419
2023-06-02,13,10492,0.0012390392680137247
2023-06-03,2,4934,0.00040535062829347385
2023-06-04,6,5053,0.001187413417771621
2023-06-05,14,10641,0.0013156658208814962
2023-06-06,15,11835,0.0012674271229404308
2023-06-07,32,11938,0.002680515999329871
2023-06-08,37,11988,0.0030864197530864196
2023-06-09,26,10564,0.0024611889435819764
2023-06-10,17,5357,0.0031734179578122084
2023-06-11,14,5120,0.002734375
2023-06-12,27,10370,0.0026036644165863066
2023-06-13,10,11488,0.0008704735376044568
2023-06-14,22,11796,0.001865038996269922
2023-06-15,12,11878,0.0010102710894089914
2023-06-16,24,10629,0.0022579734688117415
2023-06-17,4,5054,0.0007914523149980214
2023-06-18,2,4813,0.00041554124246831497
2023-06-19,9,7550,0.0011920529801324503
2023-06-20,16,11068,0.0014456089627755693
2023-06-21,18,11560,0.0015570934256055363
2023-06-22,11,11824,0.0009303112313937754
2023-06-23,8,10368,0.0007716049382716049
2023-06-24,11,4870,0.0022587268993839835
2023-06-25,12,4881,0.002458512599877074
2023-06-26,46,9996,0.004601840736294518
2023-06-27,23,11380,0.0020210896309314588
2023-06-28,15,11525,0.0013015184381778742
2023-06-29,10,11865,0.0008428150021070375
2023-06-30,8,11056,0.000723589001447178
2023-07-01,4,5100,0.000784313725490196
2023-07-02,8,4743,0.001686696183849884
2023-07-03,23,8381,0.002744302589189834
2023-07-04,21,6126,0.0034280117531831538
2023-07-05,30,10244,0.0029285435376805937
2023-07-06,34,10984,0.003095411507647487
2023-07-07,15,9846,0.0015234613040828763
2023-07-08,9,4782,0.0018820577164366374
2023-07-09,3,4987,0.00060156406657309
2023-07-10,26,10357,0.0025103794535097034
2023-07-11,19,11640,0.0016323024054982818
2023-07-12,16,11594,0.0013800241504226323
2023-07-13,9,11735,0.0007669365146996165
2023-07-14,12,10025,0.001197007481296758
2023-07-15,10,4421,0.002261931689662972
2023-07-16,2,4643,0.0004307559767391773
2023-07-17,12,10151,0.0011821495419170524
2023-07-18,11,11133,0.0009880535345369622
2023-07-19,14,11713,0.001195253137539486
2023-07-20,11,11430,0.0009623797025371828
2023-07-21,10,9998,0.0010002000400080016
