,MDGL,MDGL,MDGL,MDGL,MDGL,NVO,NVO,NVO,NVO,NVO
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2023-01-03,294.9800109863281,294.9800109863281,276.8399963378906,285.4200134277344,484300,65.96432860644025,66.51695170633124,65.41650831060453,65.81536102294922,3541400
2023-01-04,282.2099914550781,288.1400146484375,272.6000061035156,274.4800109863281,351700,66.63228095223818,66.63708375600193,65.38286271632673,65.72405242919922,2777400
2023-01-05,275.989990234375,279.67999267578125,266.9599914550781,271.7099914550781,444200,65.13780247621717,65.90666920628843,65.05611079860171,65.47418212890625,3049400
2023-01-06,272.19000244140625,282.3900146484375,265.9200134277344,281.1199951171875,513200,65.83939088285533,66.8197056436648,65.59911866359191,66.6226806640625,2308000
2023-01-09,280.2799987792969,302.3599853515625,280.07000732421875,285.79998779296875,516100,66.67073324918798,66.81970084122057,65.8105546598327,65.94510650634766,2418800
2023-01-10,285.25,298.4800109863281,285.25,298.4599914550781,394400,64.3689231359455,64.86388329843282,63.931625957040886,64.22956848144531,2906800
2023-01-11,302.510009765625,302.510009765625,288.67999267578125,291.010009765625,374200,62.946511295486715,63.72979365274619,62.81676225912089,63.710575103759766,3378000
2023-01-12,291.05999755859375,300.9200134277344,280.8900146484375,300.8399963378906,324200,63.11470172726459,64.23437109448972,62.518831345283154,64.21034240722656,2387200
2023-01-13,299.2099914550781,306.8699951171875,292.0,299.9800109863281,472200,65.18103851318237,65.75769029474412,65.08012096845958,65.5078125,2179400
2023-01-17,297.3800048828125,297.3800048828125,285.2799987792969,295.32000732421875,341100,67.0984224331369,67.27141872465626,66.37760577389396,66.78606414794922,3541000
2023-01-18,298.6300048828125,308.3699951171875,296.3399963378906,300.7300109863281,458100,67.16569880911881,67.73273773189078,67.12725437379976,67.160888671875,4857800
2023-01-19,300.1000061035156,305.7799987792969,297.0,299.45001220703125,247400,67.24739120003565,67.68468840735103,66.74281806332763,67.5933837890625,3523000
2023-01-20,302.8399963378906,306.94000244140625,294.010009765625,306.75,359300,67.43480354948821,67.80962763389213,67.16088969337113,67.80482482910156,2698600
2023-01-23,307.0,313.6300048828125,298.010009765625,304.94000244140625,406000,67.89131157514372,67.99703192870204,67.54531902395746,67.79520416259766,2606600
2023-01-24,302.54998779296875,313.92999267578125,299.0199890136719,306.0,367100,69.5732239021521,69.5732239021521,66.8533405937455,67.22816467285156,3892200
2023-01-25,304.0,309.8399963378906,300.0199890136719,304.6199951171875,172200,65.90185285582238,67.0503535762767,65.8778241714564,66.74280548095703,3220000
2023-01-26,307.0,307.0,294.54998779296875,300.6400146484375,191800,66.59384838031389,66.70918168390047,65.48859471831909,66.09407806396484,2598400
2023-01-27,301.5199890136719,303.44000244140625,288.9200134277344,289.5,222300,66.29110724714856,66.70437577889648,66.10850533720874,66.35838317871094,2217400
2023-01-30,290.0,290.0,273.0899963378906,281.2300109863281,384900,67.61259353608231,67.64623516266097,66.71397788210068,66.82450103759766,2889200
2023-01-31,281.0799865722656,289.8599853515625,280.20001220703125,288.25,274800,66.16615741680637,66.7524221519827,65.54144825100082,66.68994903564453,3040800
2023-02-01,289.79998779296875,292.4100036621094,282.6300048828125,289.07000732421875,202500,67.18011428806793,67.35791338474951,65.91628006239837,66.83412170410156,4587000
2023-02-02,291.9599914550781,292.30999755859375,277.3800048828125,286.2200012207031,373800,64.8398614002065,64.89753172235352,63.03301684434417,63.595252990722656,8126000
2023-02-03,283.2200012207031,288.0,278.9800109863281,279.7900085449219,289400,65.23390251497295,66.04121359002107,64.99843311848775,65.7336654663086,3559000
2023-02-06,278.67999267578125,280.3299865722656,267.1300048828125,276.4800109863281,312900,66.13251929129837,66.71398125312507,65.81536555373685,66.34877014160156,3365400
2023-02-07,277.29998779296875,277.29998779296875,271.20001220703125,275.0,323900,66.47370979217736,67.14646904001849,66.38240518014338,67.07919311523438,2132000
2023-02-08,276.5,276.5,258.25,259.9200134277344,497700,67.64624328638219,67.70870907784708,66.69476000993346,67.07439422607422,2460200
2023-02-09,264.0299987792969,265.0,256.0,258.6600036621094,380500,67.08400326196066,67.35310696113626,66.7476163054653,67.05036163330078,2564600
2023-02-10,258.3599853515625,262.80999755859375,254.00999450683594,257.4800109863281,381300,66.73801439313219,67.27141901658779,66.48812923040288,67.05516815185547,2482800
2023-02-13,258.3800048828125,261.7900085449219,252.92999267578125,255.36000061035156,210900,67.60297954098773,68.9437024610992,67.57414805152732,68.71304321289062,3212600
2023-02-14,253.1999969482422,269.260009765625,251.0,268.20001220703125,353000,68.62174603661245,68.99657010522523,68.35744513373777,68.6938247680664,1768200
2023-02-15,267.30999755859375,282.7699890136719,260.94000244140625,282.260009765625,317900,67.78079606877385,68.2228960824126,67.61260257843757,67.737548828125,1721600
2023-02-16,280.1300048828125,303.0899963378906,277.0199890136719,295.0400085449219,616700,67.12725003910943,67.32907781210689,66.53618246586498,66.6467056274414,1765200
2023-02-17,295.3599853515625,307.5,294.30999755859375,303.3900146484375,615100,67.3098611473476,68.30938709899179,67.16088621623595,68.05950927734375,2378800
2023-02-21,300.0,302.95001220703125,285.6300048828125,288.760009765625,465000,68.4343338649253,68.95812553250883,68.13158852837424,68.53044128417969,1729600
2023-02-22,289.8699951171875,293.0,282.0,291.8399963378906,375800,68.51602530404877,68.81396050247821,68.28536603212035,68.3574447631836,1382000
2023-02-23,293.0,307.989990234375,292.0,307.0799865722656,497300,68.7851293935921,69.11190341879495,68.14600442200553,68.66499328613281,1611000
2023-02-24,304.7200012207031,304.8500061035156,256.1400146484375,276.20001220703125,1061500,67.97780617737783,68.12677375092086,67.57414335540905,68.04508209228516,1707800
2023-02-27,279.1700134277344,280.2799987792969,268.42999267578125,271.6199951171875,413500,68.83798607454561,69.15514714192038,68.62174255861763,68.8908462524414,1682400
2023-02-28,273.6400146484375,276.17999267578125,270.25,271.010009765625,348100,68.70342892110834,68.70342892110834,67.58856246706209,67.751953125,2326400
2023-03-01,271.010009765625,280.7799987792969,271.010009765625,279.19000244140625,258100,68.53043001363237,69.12149751073933,68.33821520673534,68.65056610107422,2567600
2023-03-02,276.8599853515625,276.8800048828125,264.260009765625,272.7900085449219,319400,68.28535564904243,69.15513975673936,68.13638073995394,69.00617218017578,1622600
2023-03-03,269.2099914550781,277.4800109863281,266.8399963378906,272.29998779296875,408100,68.92929152891189,69.71258126572592,68.84759985889536,69.6308822631836,2011200
2023-03-06,271.8500061035156,273.9800109863281,266.2900085449219,270.92999267578125,407100,69.98168488568757,70.13065247981969,69.15514791257476,69.56360626220703,2333400
2023-03-07,269.1099853515625,275.0,266.25,266.69000244140625,452600,69.8423224351819,69.96726867396437,69.06864564570685,69.15995025634766,2189600
2023-03-08,267.3500061035156,268.1199951171875,257.29998779296875,260.70001220703125,308800,67.79040169891287,68.12678131077672,67.29543422338926,67.97781372070312,8839400
2023-03-09,262.54998779296875,262.989990234375,252.47999572753906,255.39999389648438,565700,68.49199645618161,69.05423255473957,68.12197519502729,68.25172424316406,2522600
2023-03-10,255.8000030517578,255.8000030517578,236.61000061035156,241.63999938964844,817800,68.74188103967379,69.26086989538273,67.75196070347054,67.8961181640625,2718200
2023-03-13,239.33999633789062,246.99000549316406,237.25,240.80999755859375,624700,67.88169811494622,68.8572026432525,67.47804258582475,67.53570556640625,2504400
2023-03-14,246.5,254.05999755859375,240.3699951171875,244.5800018310547,561100,68.30938775775107,68.75149508575566,67.78559608911603,68.6938247680664,2400400
2023-03-15,239.52999877929688,244.9600067138672,237.0,238.80999755859375,387700,67.4444162196735,68.07392827344134,67.16088942259199,67.74715423583984,3189600
2023-03-16,237.0399932861328,246.30999755859375,231.33999633789062,245.8800048828125,447900,66.7956656535522,66.81488420153,65.02726593859533,66.74280548095703,5974000
2023-03-17,245.8800048828125,257.3500061035156,242.2899932861328,250.61000061035156,1480300,67.15128302433074,67.41077379692926,66.8437348744791,67.00711822509766,3454400
2023-03-20,250.85000610351562,258.3699951171875,246.6199951171875,255.92999267578125,366800,68.30458533051555,69.08787510176435,68.13639184615899,69.00137329101562,2484800
2023-03-21,257.2799987792969,258.6199951171875,239.35000610351562,245.63999938964844,426600,69.75583374094091,70.846664357066,69.5732245045295,70.77938842773438,2744600
2023-03-22,246.30999755859375,246.30999755859375,230.55999755859375,231.05999755859375,370800,70.77457012226544,71.27434034429423,70.46221923289102,70.49105072021484,2098000
2023-03-23,233.6999969482422,233.74000549316406,222.8699951171875,231.9600067138672,549500,71.94230252269104,72.80247373857159,71.67319150994665,71.87982940673828,2573200
2023-03-24,230.97000122070312,234.6699981689453,224.75999450683594,234.6699981689453,310700,72.6446930864954,74.4224212217288,72.25233445766362,73.9913101196289,3204600
2023-03-27,236.25999450683594,243.97999572753906,232.72000122070312,238.3300018310547,314600,74.37398276281654,75.2943374218151,74.16085523535307,74.93588256835938,2329000
2023-03-28,239.4600067138672,245.9199981689453,238.0500030517578,240.8000030517578,179900,75.40089851753282,75.49777600207251,74.85353001253,75.2362060546875,1832600
2023-03-29,243.47000122070312,243.47000122070312,237.19000244140625,238.2899932861328,180000,75.68185750512643,76.14203115553197,75.53653756518806,75.84654998779297,1644800
2023-03-30,239.2100067138672,239.99000549316406,222.8800048828125,234.7100067138672,420100,76.16140017496747,76.5876700080593,76.07905393744362,76.5779800415039,2066400
2023-03-31,235.36000061035156,242.41000366210938,233.82000732421875,242.25999450683594,304400,76.80565133869591,77.3772411431547,76.55861260963555,77.08660125732422,2285600
2023-04-03,245.55999755859375,252.8800048828125,242.35000610351562,248.8699951171875,288700,76.70392418789181,77.33363155305526,76.36484189430716,77.30941772460938,2086400
2023-04-04,249.0,249.5,238.69000244140625,240.5800018310547,240900,76.9751893262454,77.55162039486906,76.46173195491713,76.81533813476562,3156000
2023-04-05,237.58999633789062,241.8000030517578,232.25999450683594,236.74000549316406,193000,76.84923514042478,77.04783879028332,75.71091174961474,76.4859390258789,2676400
2023-04-06,236.44000244140625,248.47000122070312,233.8699951171875,247.5800018310547,382500,77.21253355193178,77.94397448139495,77.1156560634266,77.19316101074219,2050200
2023-04-10,245.88999938964844,246.80999755859375,239.47000122070312,245.3300018310547,275600,77.30941518347636,77.33847768967897,76.44234432828115,76.97518157958984,1477200
2023-04-11,246.02999877929688,248.7899932861328,233.6199951171875,234.0800018310547,248300,76.36484291497287,77.01877889987952,76.02576800813479,76.71360778808594,1931400
2023-04-12,235.00999450683594,242.8000030517578,231.50999450683594,241.52999877929688,353600,78.11351480626269,79.89124310884372,78.03601724370968,79.208251953125,3520800
2023-04-13,242.58999633789062,247.14999389648438,239.4499969482422,239.72000122070312,200400,80.64690545389067,81.20879789189664,79.6490458020445,81.2039566040039,7045200
2023-04-14,238.30999755859375,246.9600067138672,235.11000061035156,239.7899932861328,217100,81.72225955998843,82.28900065560953,81.27660978731373,81.66897583007812,3314000
2023-04-17,242.1999969482422,257.3399963378906,241.74000549316406,256.54998779296875,431100,82.85574277244226,83.17059647679717,82.38103787638622,82.86543273925781,3189200
2023-04-18,270.0,295.8699951171875,261.9800109863281,289.32000732421875,921800,82.31806739395824,82.90418106180745,82.01774493245797,82.24056243896484,3221200
2023-04-19,286.7200012207031,299.70001220703125,286.7200012207031,293.19000244140625,382700,79.35356837376678,80.36595184272544,79.3099672196207,79.93968200683594,3980200
2023-04-20,289.8800048828125,295.8399963378906,283.0,287.510009765625,260600,80.20609628294562,80.49672874416595,79.6296652566327,80.1043701171875,2386800
2023-04-21,287.5,304.7799987792969,287.1600036621094,303.489990234375,398500,81.73678957780713,83.78577772194282,81.70287839052318,83.63076782226562,3453400
2023-04-24,302.5,306.3800048828125,295.57000732421875,305.8800048828125,426700,82.77823929133042,83.03496798191176,82.21633946650822,82.57963562011719,2376400
2023-04-25,305.8299865722656,314.5299987792969,294.6400146484375,295.7699890136719,435100,82.60868856872662,82.768539744767,81.47520647456211,81.6592788696289,2234600
2023-04-26,294.30999755859375,308.3599853515625,292.7900085449219,307.2799987792969,266900,80.24485464483708,80.29813837532949,79.18402871402927,79.9203109741211,2242800
2023-04-27,305.8599853515625,308.54998779296875,300.0299987792969,304.7900085449219,204600,80.2303215332606,80.52580268801042,79.65873176563753,80.41923522949219,2307600
2023-04-28,302.8299865722656,314.07000732421875,301.19000244140625,312.0,336000,80.59845561421889,81.4219253484566,80.20125569636339,80.93753051757812,2238400
2023-05-01,311.4200134277344,322.6700134277344,306.30999755859375,309.3800048828125,587000,80.75346540144258,81.13129277772737,80.30781565329684,81.09738159179688,2014200
2023-05-02,309.5299987792969,314.7900085449219,301.67999267578125,303.0,326200,80.34172690979972,81.06831915579768,80.29328447022176,80.99081420898438,2233800
2023-05-03,303.1199951171875,311.0199890136719,300.70001220703125,304.7799987792969,364400,80.77768607603977,81.74647581862672,80.27875994990981,81.26692962646484,3333800
2023-05-04,302.5799865722656,311.8900146484375,295.6400146484375,308.5899963378906,286900,78.24913483688886,78.5833684404507,76.78141914485681,77.71145629882812,5459000
2023-05-05,310.989990234375,310.989990234375,297.8999938964844,306.3699951171875,324200,78.57369048176992,79.31965528542132,77.9245957768716,79.07261657714844,2568200
2023-05-08,308.17999267578125,313.1099853515625,301.3599853515625,308.8699951171875,248000,81.93539267315514,82.22603256361785,81.25240149574282,81.59147644042969,3668600
2023-05-09,306.260009765625,311.55999755859375,269.0199890136719,299.6499938964844,870700,80.36595103438123,82.05164303646713,80.36595103438123,81.63506317138672,3160200
2023-05-10,301.8500061035156,302.4599914550781,290.0299987792969,292.1499938964844,231000,80.97629311435465,82.23572278859929,80.87941561432339,82.06134033203125,2451600
2023-05-11,289.19000244140625,295.2799987792969,283.0,288.1199951171875,243800,82.21634238465903,82.41978735094753,81.50428130700953,81.85789489746094,2044800
2023-05-12,293.6499938964844,294.8599853515625,285.4800109863281,292.9200134277344,161000,82.4682183740512,83.4757604898917,82.4682183740512,82.9623031616211,2185600
2023-05-15,295.8299865722656,298.44000244140625,289.3699951171875,290.2900085449219,215600,82.38102654010687,82.57478150208168,81.78521561904219,82.07100677490234,1525400
2023-05-16,280.82000732421875,294.5799865722656,270.6099853515625,292.2099914550781,540400,80.855191069264,81.71741334928964,80.6808086198611,81.2136459350586,1982800
2023-05-17,290.3999938964844,292.0400085449219,276.07000732421875,277.8999938964844,569500,81.6108426829071,81.63022261612406,80.67596416535856,80.9423828125,1538000
2023-05-18,276.6499938964844,277.7200012207031,270.2200012207031,276.489990234375,381100,81.29598762316868,81.71256748500673,80.96659528550946,81.6447525024414,1400000
2023-05-19,278.57000732421875,281.0,273.45001220703125,276.6099853515625,247200,82.34228472451734,83.14637457291195,82.01774105601079,82.60869598388672,2729200
2023-05-22,277.0,286.8399963378906,274.0199890136719,285.489990234375,324500,82.57963434854949,83.29169538996103,81.14582969016695,82.59901428222656,6278600
2023-05-23,285.5899963378906,302.67999267578125,280.0899963378906,282.1600036621094,285100,81.45098080979079,81.49942324519955,78.52523953653848,79.18885803222656,4778800
2023-05-24,280.67999267578125,301.0,280.67999267578125,292.2799987792969,409300,78.71900841058037,78.91761208307388,78.21524099315799,78.36540222167969,3533400
2023-05-25,293.2699890136719,293.8800048828125,277.05999755859375,281.5899963378906,312400,78.68509674072266,78.83525795422138,77.9633457889144,78.68509674072266,3114600
2023-05-26,281.6000061035156,288.1400146484375,278.8999938964844,284.8800048828125,214400,79.26637717590842,79.77014459454989,78.83526603212125,78.94183349609375,1926200
2023-05-30,285.7699890136719,288.75,279.010009765625,280.0199890136719,180500,78.37508113790089,78.38961239078769,77.22706042089627,77.4111328125,2514000
