,MASLD,NAFLD,Rezdiffra,Wegovy,Ozempic
count,148.0,148.0,148.0,148.0,148.0
mean,9.135135135135135,26.64864864864865,0.3310810810810811,46.601351351351354,70.1554054054054
std,9.249121045681514,13.598151567495606,0.4722001408015176,16.145065110216418,12.28057081582202
min,0.0,16.0,0.0,22.0,44.0
25%,2.0,21.0,0.0,33.0,60.0
50%,7.0,23.0,0.0,46.0,72.0
75%,14.0,25.0,1.0,56.0,79.0
max,44.0,100.0,1.0,100.0,100.0
